id_def_dato_custom,id_producto,valor
3N5CmnZNwJ,LI0PdCiNVs,et saepe ea
zKrldQ40kA,44CCp6KDZ9,et repellat debitis
vd8jqJNXLz,44CCp6KDZ9,3
RYx4ig0m2C,44CCp6KDZ9,molestiae quaerat necessitatibus
j8tYPn6ipF,44CCp6KDZ9,38
tSVxQWV3kO,Ia8SHRT8NN,25
kvFAD2sRac,Ia8SHRT8NN,et similique recusandae
mWsDWPyrO8,MYaBxqRX4Z,12
al1jBNxzHo,MYaBxqRX4Z,facilis maiores et
ngeu30n1hL,MYaBxqRX4Z,38
CD9cqukGQx,MYaBxqRX4Z,assumenda et voluptas
v5a0GWP1lr,jA4YGaF39L,17
B5PtAVeggk,jA4YGaF39L,26
fGnqVMtn7o,McZngkuXqQ,18
J6cfhLhnjM,RCHEduuJQ7,reiciendis quas vitae
lfMP38PIR1,kLqUReM5h6,21
MQTYheUNFa,kLqUReM5h6,6
omVAddrPJv,edQrHQgjqt,quidem qui cum
iT73EcKVbh,edQrHQgjqt,commodi aut sunt
YCMTRXTwsP,edQrHQgjqt,quam dignissimos quia
KSxzyHJJrh,edQrHQgjqt,33
P3ywvq4aA7,JYWCqanPDJ,33
AY3Uc92eNR,55a6U3mWmA,5
KHqVhloq88,55a6U3mWmA,18
r9XCwqsoib,55a6U3mWmA,23
KvuIYXkWTs,55a6U3mWmA,possimus quasi ut
eDW7QvsfTL,Rsy74pBYvT,11
wv7xBPv9hV,Rsy74pBYvT,32
3IY5lt7moW,iwYmbLJNtO,36
HCfZEl5KAa,GRmgo89ccB,31
jocoev3kIE,GRmgo89ccB,6
RvyiZT1BDV,GRmgo89ccB,et deleniti asperiores
ZFN7sTVeoC,GRmgo89ccB,6
mVKzToBmaU,xM2A248qcO,nesciunt dolor iste
T7MNaD9crq,xM2A248qcO,rerum fuga quia
g8J8Qj2YuI,JgzfgEgWfT,2
7KA3mt42ND,JgzfgEgWfT,1
80LWk1UyU0,JgzfgEgWfT,rerum libero fuga
RMSDnCHcz8,JgzfgEgWfT,itaque eligendi est
